Tab 1:
|      |   No | Division       | Sub-Division          | Country        | Legal Entity                       | KRIs                                      |     Q3 2024 KRI |     Q2 2024 KRI |      Variance | Sample Selected   |
|  640 |  641 | Retail Bank    | APAC                  | India          | Willett Bank Delhi                 | Transactions Prohibited countries - value |               0 |               0 |   0           |                   |
|  641 |  642 | Retail Bank    | APAC                  | India          | Willett Bank Delhi                 | Transactions with Russia - volume         |               0 |               0 |   0           |                   |
|  642 |  643 | Retail Bank    | APAC                  | India          | Willett Bank Delhi                 | Transactions with Russia - value          |               0 |               0 |   0           |                   |
|  643 |  644 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | Total clients                             |             484 |             469 |   0.0309917   |                   |
|  644 |  645 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | Business Income                           |        31779666 |        30880785 |   0.0282848   |                   |
|  645 |  646 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | Total Transactions                        |         8286584 |         7844458 |   0.0533544   |                   |
|  646 |  647 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | Value of transactions                     |    111284867762 |    106588512933 |   0.0422012   |                   |
|  647 |  648 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | HR Clients                                |              72 |              68 |   0.0555556   |                   |
|  648 |  649 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | MR Clients                                |              84 |              84 |   0           |                   |
|  649 |  650 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | LR Clients                                |               8 |               7 |   0.125       |                   |
|  650 |  651 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | Terrorist Financing breaches              |               7 |               6 |   0.142857    |                   |
|  651 |  652 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  652 |  653 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | New Products                              |               0 |               0 |   0           |                   |
|  653 |  654 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | Wires - volume                            |            9322 |            9308 |   0.00150182  |                   |
|  654 |  655 | Corporate Bank | Corporate Loans       | Indonesia      | Willett Bank Jakarta               | Wires - value                             |       582529836 |       574838081 |   0.0132041   |                   |
|  655 |  656 | Corporate Bank | Marine Finance        | Indonesia      | Willett Bank Jakarta               | Total clients                             |              71 |              67 |   0.056338    |                   |
|  656 |  657 | Corporate Bank | Marine Finance        | Indonesia      | Willett Bank Jakarta               | Business Income                           |          329774 |          325539 |   0.0128421   |                   |
|  657 |  658 | Corporate Bank | Marine Finance        | Indonesia      | Willett Bank Jakarta               | HR Clients                                |               8 |               7 |   0.125       |                   |
|  658 |  659 | Corporate Bank | Marine Finance        | Indonesia      | Willett Bank Jakarta               | MR Clients                                |              10 |               9 |   0.1         |                   |
|  659 |  660 | Corporate Bank | Marine Finance        | Indonesia      | Willett Bank Jakarta               | LR Clients                                |               1 |               1 |   0           |                   |
|  660 |  661 | Corporate Bank | Marine Finance        | Indonesia      | Willett Bank Jakarta               | Terrorist Financing breaches              |               1 |               1 |   0           |                   |
|  661 |  662 | Corporate Bank | Marine Finance        | Indonesia      | Willett Bank Jakarta               | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  662 |  663 | Corporate Bank | Marine Finance        | Indonesia      | Willett Bank Jakarta               | New Products                              |               0 |               0 |   0           |                   |
|  663 |  664 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | Total clients                             |              17 |              17 |   0           |                   |
|  664 |  665 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | Business Income                           |         1413646 |         1411141 |   0.00177201  |                   |
|  665 |  666 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | Total Transactions                        |           48953 |           48450 |   0.0102752   |                   |
|  666 |  667 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | Value of transactions                     |     37745001889 |     35131570269 |   0.0692391   |                   |
|  667 |  668 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | HR Clients                                |              12 |              14 |  -0.166667    |                   |
|  668 |  669 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | MR Clients                                |               1 |               1 |   0           |                   |
|  669 |  670 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | LR Clients                                |               1 |               0 |   1           | 1                 |
|  670 |  671 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | Terrorist Financing breaches              |               1 |               0 |   1           | 1                 |
|  671 |  672 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | Proliferation Financing breaches          |               1 |               0 |   1           | 1                 |
|  672 |  673 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | New Products                              |               0 |               0 |   0           |                   |
|  673 |  674 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | Wires - volume                            |               1 |               1 |   0           |                   |
|  674 |  675 | Corporate Bank | Fund Services         | Indonesia      | Willett Bank Jakarta               | Wires - value                             |           56691 |           52786 |   0.0688822   |                   |
|  675 |  676 | Markets        | Trading               | Indonesia      | Willett Bank Jakarta               | Business Income                           |          361661 |          130324 |   0.639651    |                   |
|  676 |  677 | Markets        | Trading               | Indonesia      | Willett Bank Jakarta               | New Products                              |               0 |               0 |   0           |                   |
|  677 |  678 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | Total clients                             |             484 |             469 |   0.0309917   |                   |
|  678 |  679 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | Business Income                           |        31779666 |        30880785 |   0.0282848   |                   |
|  679 |  680 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | Total Transactions                        |         8286584 |         7844458 |   0.0533544   |                   |
|  680 |  681 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | Value of transactions                     |    111284867762 |    106588512933 |   0.0422012   |                   |
|  681 |  682 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | HR Clients                                |              72 |              68 |   0.0555556   |                   |
|  682 |  683 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | MR Clients                                |              84 |              84 |   0           |                   |
|  683 |  684 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | LR Clients                                |               8 |               7 |   0.125       |                   |
|  684 |  685 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | Terrorist Financing breaches              |               7 |               6 |   0.142857    |                   |
|  685 |  686 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  686 |  687 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | New Products                              |               0 |               0 |   0           |                   |
|  687 |  688 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | Wires - volume                            |            9322 |            9308 |   0.00150182  |                   |
|  688 |  689 | Corporate Bank | Corporate Loans       | Italy          | Willett Bank Rome                  | Wires - value                             |       582529836 |       574838081 |   0.0132041   |                   |
|  689 |  690 | Corporate Bank | Marine Finance        | Italy          | Willett Bank Rome                  | Total clients                             |              71 |              67 |   0.056338    |                   |
|  690 |  691 | Corporate Bank | Marine Finance        | Italy          | Willett Bank Rome                  | Business Income                           |          329774 |          325539 |   0.0128421   |                   |
|  691 |  692 | Corporate Bank | Marine Finance        | Italy          | Willett Bank Rome                  | HR Clients                                |               8 |               7 |   0.125       |                   |
|  692 |  693 | Corporate Bank | Marine Finance        | Italy          | Willett Bank Rome                  | MR Clients                                |              10 |               9 |   0.1         |                   |
|  693 |  694 | Corporate Bank | Marine Finance        | Italy          | Willett Bank Rome                  | LR Clients                                |               1 |               1 |   0           |                   |
|  694 |  695 | Corporate Bank | Marine Finance        | Italy          | Willett Bank Rome                  | Terrorist Financing breaches              |               1 |               1 |   0           |                   |
|  695 |  696 | Corporate Bank | Marine Finance        | Italy          | Willett Bank Rome                  | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  696 |  697 | Corporate Bank | Marine Finance        | Italy          | Willett Bank Rome                  | New Products                              |               0 |               0 |   0           |                   |
|  697 |  698 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | Total clients                             |              17 |              17 |   0           |                   |
|  698 |  699 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | Business Income                           |         1413646 |         1411141 |   0.00177201  |                   |
|  699 |  700 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | Total Transactions                        |           48953 |           48450 |   0.0102752   |                   |
|  700 |  701 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | Value of transactions                     |     37745001889 |     35131570269 |   0.0692391   |                   |
|  701 |  702 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | HR Clients                                |              12 |              14 |  -0.166667    |                   |
|  702 |  703 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | MR Clients                                |               1 |               1 |   0           |                   |
|  703 |  704 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | LR Clients                                |               1 |               0 |   1           | 1                 |
|  704 |  705 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | Terrorist Financing breaches              |               1 |               0 |   1           |                   |
|  705 |  706 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | Proliferation Financing breaches          |               1 |               0 |   1           |                   |
|  706 |  707 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | New Products                              |               0 |               0 |   0           |                   |
|  707 |  708 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | Wires - volume                            |               1 |               1 |   0           |                   |
|  708 |  709 | Corporate Bank | Fund Services         | Italy          | Willett Bank Rome                  | Wires - value                             |           56691 |           52786 |   0.0688822   |                   |
|  709 |  710 | Markets        | M&A                   | Italy          | Willett Bank Rome                  | Total clients                             |              11 |              11 |   0           |                   |
|  710 |  711 | Markets        | M&A                   | Italy          | Willett Bank Rome                  | Business Income                           |         4998258 |         3424954 |   0.31477     |                   |
|  711 |  712 | Markets        | M&A                   | Italy          | Willett Bank Rome                  | HR Clients                                |               2 |               2 |   0           |                   |
|  712 |  713 | Markets        | M&A                   | Italy          | Willett Bank Rome                  | MR Clients                                |               1 |               2 |  -1           |                   |
|  713 |  714 | Markets        | M&A                   | Italy          | Willett Bank Rome                  | LR Clients                                |               0 |               0 |   0           |                   |
|  714 |  715 | Markets        | M&A                   | Italy          | Willett Bank Rome                  | Terrorist Financing breaches              |               6 |               5 |   0.166667    |                   |
|  715 |  716 | Markets        | M&A                   | Italy          | Willett Bank Rome                  | Proliferation Financing breaches          |               3 |               2 |   0.333333    |                   |
|  716 |  717 | Markets        | M&A                   | Italy          | Willett Bank Rome                  | New Products                              |               0 |               0 |   0           |                   |
|  717 |  718 | Markets        | Equity Markets        | Italy          | Willett Bank Rome                  | Total clients                             |              11 |              11 |   0           |                   |
|  718 |  719 | Markets        | Equity Markets        | Italy          | Willett Bank Rome                  | Business Income                           |         3055838 |         3674800 |  -0.202551    |                   |
|  719 |  720 | Markets        | Equity Markets        | Italy          | Willett Bank Rome                  | HR Clients                                |               2 |               2 |   0           |                   |
|  720 |  721 | Markets        | Equity Markets        | Italy          | Willett Bank Rome                  | MR Clients                                |               1 |               2 |  -1           |                   |
|  721 |  722 | Markets        | Equity Markets        | Italy          | Willett Bank Rome                  | LR Clients                                |               0 |               0 |   0           |                   |
|  722 |  723 | Markets        | Equity Markets        | Italy          | Willett Bank Rome                  | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  723 |  724 | Markets        | Equity Markets        | Italy          | Willett Bank Rome                  | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  724 |  725 | Markets        | Equity Markets        | Italy          | Willett Bank Rome                  | New Products                              |               0 |               0 |   0           |                   |
|  725 |  726 | Markets        | Trading               | Italy          | Willett Bank Rome                  | Total clients                             |              11 |              11 |   0           |                   |
|  726 |  727 | Markets        | Trading               | Italy          | Willett Bank Rome                  | Business Income                           |         5613797 |         4346685 |   0.225714    |                   |
|  727 |  728 | Markets        | Trading               | Italy          | Willett Bank Rome                  | HR Clients                                |               2 |               2 |   0           |                   |
|  728 |  729 | Markets        | Trading               | Italy          | Willett Bank Rome                  | MR Clients                                |               1 |               2 |  -1           |                   |
|  729 |  730 | Markets        | Trading               | Italy          | Willett Bank Rome                  | LR Clients                                |               0 |               0 |   0           |                   |
|  730 |  731 | Markets        | Trading               | Italy          | Willett Bank Rome                  | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  731 |  732 | Markets        | Trading               | Italy          | Willett Bank Rome                  | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  732 |  733 | Markets        | Trading               | Italy          | Willett Bank Rome                  | New Products                              |               0 |               0 |   0           |                   |
|  733 |  734 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | Total clients                             |             484 |             469 |   0.0309917   |                   |
|  734 |  735 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | Business Income                           |        31779666 |        30880785 |   0.0282848   |                   |
|  735 |  736 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | Total Transactions                        |         8286584 |         7844458 |   0.0533544   |                   |
|  736 |  737 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | Value of transactions                     |     87567876543 |     83890765453 |   0.0419916   |                   |
|  737 |  738 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | HR Clients                                |              67 |              66 |   0.0149254   |                   |
|  738 |  739 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | MR Clients                                |              99 |              99 |   0           |                   |
|  739 |  740 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | LR Clients                                |               7 |               6 |   0.142857    |                   |
|  740 |  741 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | Terrorist Financing breaches              |               7 |               6 |   0.142857    |                   |
|  741 |  742 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  742 |  743 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | New Products                              |               0 |               0 |   0           |                   |
|  743 |  744 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | Wires - volume                            |            8765 |            8654 |   0.012664    |                   |
|  744 |  745 | Corporate Bank | Corporate Loans       | Japan          | Willett Bank Tokyo                 | Wires - value                             |          678987 |          665987 |   0.0191462   |                   |
|  745 |  746 | Corporate Bank | Marine Finance        | Japan          | Willett Bank Tokyo                 | Total clients                             |              76 |              68 |   0.105263    |                   |
|  746 |  747 | Corporate Bank | Marine Finance        | Japan          | Willett Bank Tokyo                 | Business Income                           |          289987 |          280998 |   0.0309979   |                   |
|  747 |  748 | Corporate Bank | Marine Finance        | Japan          | Willett Bank Tokyo                 | HR Clients                                |               8 |               7 |   0.125       |                   |
|  748 |  749 | Corporate Bank | Marine Finance        | Japan          | Willett Bank Tokyo                 | MR Clients                                |              10 |               9 |   0.1         |                   |
|  749 |  750 | Corporate Bank | Marine Finance        | Japan          | Willett Bank Tokyo                 | LR Clients                                |               1 |               1 |   0           |                   |
|  750 |  751 | Corporate Bank | Marine Finance        | Japan          | Willett Bank Tokyo                 | Terrorist Financing breaches              |               1 |               1 |   0           |                   |
|  751 |  752 | Corporate Bank | Marine Finance        | Japan          | Willett Bank Tokyo                 | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  752 |  753 | Corporate Bank | Marine Finance        | Japan          | Willett Bank Tokyo                 | New Products                              |               0 |               0 |   0           |                   |
|  753 |  754 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | Total clients                             |              17 |              17 |   0           |                   |
|  754 |  755 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | Business Income                           |         1567987 |         1554888 |   0.00835402  |                   |
|  755 |  756 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | Total Transactions                        |           54678 |           53887 |   0.0144665   |                   |
|  756 |  757 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | Value of transactions                     |     34567667876 |     33787998887 |   0.0225549   |                   |
|  757 |  758 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | HR Clients                                |              12 |              14 |  -0.166667    |                   |
|  758 |  759 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | MR Clients                                |               1 |               1 |   0           |                   |
|  759 |  760 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | LR Clients                                |               1 |               0 |   1           |                   |
|  760 |  761 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | Terrorist Financing breaches              |               1 |               0 |   1           |                   |
|  761 |  762 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | Proliferation Financing breaches          |               1 |               0 |   1           |                   |
|  762 |  763 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | New Products                              |               0 |               0 |   0           |                   |
|  763 |  764 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | Wires - volume                            |               1 |               1 |   0           |                   |
|  764 |  765 | Corporate Bank | Fund Services         | Japan          | Willett Bank Tokyo                 | Wires - value                             |           56691 |           52786 |   0.0688822   |                   |
|  765 |  766 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Total clients                             |             142 |             141 |   0.00704225  |                   |
|  766 |  767 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Business Income                           |         9356765 |         9245786 |   0.0118608   |                   |
|  767 |  768 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Total Transactions                        |               0 |               0 |   0           |                   |
|  768 |  769 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Value of transactions                     |               0 |               0 |   0           |                   |
|  769 |  770 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | HR Clients                                |               3 |               4 |  -0.333333    |                   |
|  770 |  771 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | MR Clients                                |               1 |               1 |   0           |                   |
|  771 |  772 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | LR Clients                                |               3 |               4 |  -0.333333    |                   |
|  772 |  773 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  773 |  774 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Proliferation Financing breaches          |               1 |               1 |   0           |                   |
|  774 |  775 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Clients with HR products                  |               0 |               0 |   0           |                   |
|  775 |  776 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | New Products                              |               0 |               0 |   0           |                   |
|  776 |  777 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Wires - volume                            |               0 |               0 |   0           |                   |
|  777 |  778 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Wires - value                             |               0 |               0 |   0           |                   |
|  778 |  779 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | PEPs                                      |               0 |               0 |   0           |                   |
|  779 |  780 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Transactions Prohibited countries - value |               0 |               0 |   0           |                   |
|  780 |  781 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Transactions with Russia - volume         |               0 |               0 |   0           |                   |
|  781 |  782 | AM             | Asset Management      | Japan          | Willett Bank Tokyo                 | Transactions with Russia - value          |               0 |               0 |   0           |                   |
|  782 |  783 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | Total clients                             |             115 |               0 |   1           |                   |
|  783 |  784 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | Business Income                           |       146024787 |       131896746 |   0.096751    |                   |
|  784 |  785 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | Total Transactions                        |          141250 |            1985 |   0.985947    |                   |
|  785 |  786 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | Value of transactions                     |   5295077828843 |    674139962435 |   0.872686    |                   |
|  786 |  787 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | HR Clients                                |               5 |               0 |   1           |                   |
|  787 |  788 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | MR Clients                                |               6 |               0 |   1           |                   |
|  788 |  789 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | LR Clients                                |               1 |               0 |   1           |                   |
|  789 |  790 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  790 |  791 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  791 |  792 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | Clients with HR products                  |               0 |               0 |   0           |                   |
|  792 |  793 | Markets        | Sales                 | Japan          | Willett Bank Tokyo                 | New Products                              |               0 |               0 |   0           |                   |
|  793 |  794 | Markets        | M&A                   | Japan          | Willett Bank Tokyo                 | Total clients                             |              40 |              43 |  -0.075       |                   |
|  794 |  795 | Markets        | M&A                   | Japan          | Willett Bank Tokyo                 | Business Income                           |         9657119 |        10269217 |  -0.0633831   |                   |
|  795 |  796 | Markets        | M&A                   | Japan          | Willett Bank Tokyo                 | HR Clients                                |               1 |               2 |  -1           |                   |
|  796 |  797 | Markets        | M&A                   | Japan          | Willett Bank Tokyo                 | MR Clients                                |               7 |               6 |   0.142857    |                   |
|  797 |  798 | Markets        | M&A                   | Japan          | Willett Bank Tokyo                 | LR Clients                                |               1 |               0 |   1           |                   |
|  798 |  799 | Markets        | M&A                   | Japan          | Willett Bank Tokyo                 | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  799 |  800 | Markets        | M&A                   | Japan          | Willett Bank Tokyo                 | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  800 |  801 | Markets        | M&A                   | Japan          | Willett Bank Tokyo                 | New Products                              |               0 |               0 |   0           |                   |
|  801 |  802 | Markets        | Trading               | Japan          | Willett Bank Tokyo                 | Total clients                             |              40 |              43 |  -0.075       |                   |
|  802 |  803 | Markets        | Trading               | Japan          | Willett Bank Tokyo                 | Business Income                           |          877766 |          636879 |   0.274432    |                   |
|  803 |  804 | Markets        | Trading               | Japan          | Willett Bank Tokyo                 | HR Clients                                |               1 |               2 |  -1           |                   |
|  804 |  805 | Markets        | Trading               | Japan          | Willett Bank Tokyo                 | MR Clients                                |               7 |               6 |   0.142857    |                   |
|  805 |  806 | Markets        | Trading               | Japan          | Willett Bank Tokyo                 | LR Clients                                |               0 |               0 |   0           |                   |
|  806 |  807 | Markets        | Trading               | Japan          | Willett Bank Tokyo                 | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  807 |  808 | Markets        | Trading               | Japan          | Willett Bank Tokyo                 | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  808 |  809 | Markets        | Trading               | Japan          | Willett Bank Tokyo                 | New Products                              |               0 |               0 |   0           |                   |
|  809 |  810 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Total clients                             |            1621 |            1391 |   0.141888    |                   |
|  810 |  811 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Business Income                           |        14366702 |        12913694 |   0.101137    |                   |
|  811 |  812 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Total Transactions                        |              24 |              35 |  -0.458333    |                   |
|  812 |  813 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Value of transactions                     |       166734002 |        88837927 |   0.467188    |                   |
|  813 |  814 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | HR Clients                                |             218 |             208 |   0.0458716   |                   |
|  814 |  815 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | MR Clients                                |             268 |             249 |   0.0708955   |                   |
|  815 |  816 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | LR Clients                                |             153 |             180 |  -0.176471    |                   |
|  816 |  817 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Terrorist Financing breaches              |              68 |              81 |  -0.191176    |                   |
|  817 |  818 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Proliferation Financing breaches          |              25 |              57 |  -1.28        | 1                 |
|  818 |  819 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | New Products                              |               0 |               0 |   0           |                   |
|  819 |  820 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Wires - volume                            |               0 |               0 |   0           |                   |
|  820 |  821 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Wires - value                             |               0 |               0 |   0           |                   |
|  821 |  822 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | PEPs                                      |               0 |               0 |   0           |                   |
|  822 |  823 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Transactions Prohibited countries - value |               0 |               0 |   0           |                   |
|  823 |  824 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Transactions with Russia - volume         |               0 |               0 |   0           |                   |
|  824 |  825 | Corporate Bank | Syndicated Lending    | Luxembourg     | Willett Bank Lux                   | Transactions with Russia - value          |               0 |               0 |   0           |                   |
|  825 |  826 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | Total clients                             |            3128 |            3148 |  -0.00639386  |                   |
|  826 |  827 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | Business Income                           |         5322180 |         4633808 |   0.12934     |                   |
|  827 |  828 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | Total Transactions                        |             867 |             834 |   0.0380623   |                   |
|  828 |  829 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | Value of transactions                     |        24435973 |        22576348 |   0.0761019   |                   |
|  829 |  830 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | HR Clients                                |              19 |              25 |  -0.315789    |                   |
|  830 |  831 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | MR Clients                                |              35 |              34 |   0.0285714   |                   |
|  831 |  832 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | LR Clients                                |               2 |               2 |   0           |                   |
|  832 |  833 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | Terrorist Financing breaches              |               1 |               1 |   0           |                   |
|  833 |  834 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | Proliferation Financing breaches          |               1 |               1 |   0           |                   |
|  834 |  835 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | Clients with HR products                  |               0 |               0 |   0           |                   |
|  835 |  836 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | New Products                              |               0 |               0 |   0           |                   |
|  836 |  837 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | Wires - volume                            |               0 |               0 |   0           |                   |
|  837 |  838 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | Wires - value                             |               0 |               0 |   0           |                   |
|  838 |  839 | AM             | Asset Management      | Luxembourg     | Willett Bank Lux                   | PEPs                                      |               0 |               0 |   0           |                   |
